stop_id,stop_name,latitude,longitude,platform_code,platform_name,municipality,wheelchair_accessible,parent_station,adress,description,zone,route_type
5008,300 Winthrop St,42.42142,-71.118233,,,Medford,1,,,,LocalBus,3
4762,Paradise Rd @ Ellis Rd,42.473552,-70.917198,,,Swampscott,0,,,,LocalBus,3
2153,Concord Ave opp Wheeler St,42.388777,-71.144816,,,Cambridge,1,,,,LocalBus,3
8342,Freeport St @ Morrisey Blvd,42.292588,-71.048106,,,Boston,1,,,,LocalBus,3
59618,Washington St @ Cottage St,42.193915,-71.200888,,,Norwood,1,,,,LocalBus,3
8482,Wiswall Rd @ Shumaker Path,42.294193,-71.189216,,,Newton,0,,,,LocalBus,3
3033,Hancock St @ Furnace Brook Pkwy,42.258215,-71.008775,,,Quincy,1,,,,LocalBus,3
6369,River St @ Caton St,42.264916,-71.099618,,,Boston,1,,,,LocalBus,3
36495,Hyde Park Ave @ Dellmore Rd,42.290215,-71.118265,,,Boston,1,,,,LocalBus,3
5293,Main St @ Windsor Rd,42.408645,-71.109479,,,Medford,0,,,,LocalBus,3
7784,Lincoln St opp Graymore Rd,42.40782,-71.252341,,,Waltham,1,,,,LocalBus,3
847,Lagrange St opp Virgil Rd,42.283852,-71.161535,,,Boston,1,,,,LocalBus,3
9198,Main St @ Melrose St,42.463112,-71.062015,,,Melrose,1,,,,LocalBus,3
14609,Margin St @ N Shore Ave,42.542256,-70.919211,,,Peabody,0,,,,LocalBus,3
111864,Nantasket Ave from Kenburma St to A St (FLAG),42.287264,-70.876468,,,Hull,1,,,,LocalBus,3
109812,Pleasant St @ Bartlett Rd,42.372904,-70.987328,,,Winthrop,1,,,,LocalBus,3
4793,Humphrey St @ Lafayette St,42.49383,-70.870158,,,Marblehead,1,,,,LocalBus,3
497,Gallivan Blvd @ Milton Ave,42.278267,-71.075075,,,Boston,1,,,,LocalBus,3
5519,Broadway @ Coburn Terr,42.416054,-71.047355,,,Everett,1,,,,LocalBus,3
1373,Harvard St @ Stedman St,42.344321,-71.124866,,,Brookline,1,,,,LocalBus,3
1850,Weld St @ Ravenna Rd,42.293107,-71.143325,,,Boston,1,,,,LocalBus,3
15049,Captains Row @ Boatswains Way,42.388457,-71.046016,,,Chelsea,1,,,,LocalBus,3
1574,Blue Hill Ave @ Moreland St,42.322776,-71.076673,,,Boston,1,,,,LocalBus,3
15992,Main St opp Common St,42.481148,-71.100301,,,Stoneham,1,,,,LocalBus,3
109829,Crest Ave @ Highland Ave,42.386455,-70.975745,,,Winthrop,1,,,,LocalBus,3
7646,Washington St @ Walker St,42.350969,-71.213111,,,Newton,1,,,,LocalBus,3
6320,High St @ Hastings Ln,42.421749,-71.123131,,,Medford,0,,,,LocalBus,3
17288,Boston St @ Ford St,42.476996,-70.957149,,,Lynn,1,,,,LocalBus,3
49906,Pine St opp Orange St,42.48467,-71.125721,,,Woburn,0,,,,LocalBus,3
13834,Opp 561 Main St,42.187006,-70.955457,,,Weymouth,1,,,,LocalBus,3
1764,Pearl St @ William St,42.362536,-71.10505,,,Cambridge,1,,,,LocalBus,3
8607,Marrett Rd @ Middle St,42.435635,-71.247174,,,Lexington,1,,,,LocalBus,3
5577,Elm St @ Haskell Ave,42.415589,-71.033108,,,Everett,1,,,,LocalBus,3
7967,Summer St opp Oak Hill Dr,42.421415,-71.162328,,,Arlington,1,,,,LocalBus,3
49704,Tremont St @ Beacon St,42.358108,-71.060394,,,Boston,1,,,,LocalBus,3
3573,Main St @ Playground,42.232863,-70.880118,,,Hingham,1,,,,LocalBus,3
2402,Medford St @ Bartlett St,42.39424,-71.101882,,,Somerville,1,,,,LocalBus,3
3258,Sea St @ Darrow St,42.265684,-70.959414,,,Quincy,0,,,,LocalBus,3
78216,1600 Washington St,42.343383,-71.236076,,,Newton,1,,,,LocalBus,3
28742,Grand Union Blvd @ Foley St,42.392526,-71.08034,,,Somerville,1,,,,LocalBus,3
3485,Adams St @ Centre St,42.260235,-71.050876,,,Milton,1,,,,LocalBus,3
2187,799 Concord Ave,42.390896,-71.156152,,,Cambridge,1,,,,LocalBus,3
4034,738 Granite St opp Town St,42.206698,-71.022074,,,Braintree,1,,,,LocalBus,3
6749,Holyoke St @ Thorpe Rd,42.466658,-70.980598,,,Lynn,0,,,,LocalBus,3
3831,South St @ Southern Artery,42.24345,-70.98392,,,Quincy,1,,,,LocalBus,3
6114,Loring Ave @ Linden St,42.504919,-70.891175,,,Salem,0,,,,LocalBus,3
76597,Moody St @ Pine St,42.371852,-71.236758,,,Waltham,1,,,,LocalBus,3
4870,Salem St @ Sunbeam Ln,42.483844,-70.89883,,,Swampscott,1,,,,LocalBus,3
1430,Felton St @ Cambridge St,42.375048,-71.11234,,,Cambridge,1,,,,LocalBus,3
109901,Shirley St @ Beach Rd,42.380764,-70.974996,,,Winthrop,1,,,,LocalBus,3
7525,Vine St @ Talbot St,42.462924,-71.018679,,,Saugus,0,,,,LocalBus,3
