vehicle_id,vehicle_label,stop_status,stop_sequence,direction_id,latitude,longitude,bearing,speed,timestamp,trip_id,trip_short_name,bikes_allowed,headsign,stop,stop_name,route_id,parent_station
1630,1630,IN_TRANSIT_TO,40,0,42.45962905883789,-70.9527359008789,57,20.6,2023-04-27 15:27:09-04:00,CR-593332-113-Rockport,113,1,West Gloucester,ER-0128,Swampscott,CR-Newburyport,place-ER-0128
1809,1809,IN_TRANSIT_TO,10,0,42.34666061401367,-71.05767822265625,224,4.5,2023-04-27 15:27:12-04:00,CR-574073-821,821,1,Providence,NEC-2276,Back Bay,CR-Providence,place-bbsta
1805,1805,STOPPED_AT,80,0,42.275630950927734,-71.21571350097656,260,,2023-04-27 15:27:08-04:00,CR-573263-619,619,1,Needham Heights,NB-0109-S,Hersey,CR-Needham,place-NB-0109
1522,1522,IN_TRANSIT_TO,80,1,42.39496994018555,-71.0771484375,180,11.6,2023-04-27 15:27:15-04:00,CR-570136-214,214,1,North Station,BNT-0000,North Station,CR-Haverhill,place-north
1803,1803,IN_TRANSIT_TO,20,1,41.98802947998047,-70.96715545654297,324,9.8,2023-04-27 15:26:53-04:00,CR-551510-020,020,1,South Station,MM-0219-S,Campello,CR-Middleborough,place-MM-0219
1823,1823,IN_TRANSIT_TO,50,1,42.196205139160156,-71.15397644042969,18,27.3,2023-04-27 15:26:16-04:00,CR-574038-824,824,1,South Station,NEC-2173,Route 128,CR-Providence,place-NEC-2173
1711,1711,IN_TRANSIT_TO,90,0,41.99846267700195,-70.73238372802734,104,17.0,2023-04-27 15:27:09-04:00,CR-551659-053,053,1,Kingston,KB-0351-S,Kingston,CR-Kingston,place-KB-0351
1816,1816,IN_TRANSIT_TO,50,1,42.284080505371094,-71.1555404663086,52,13.9,2023-04-27 15:27:15-04:00,CR-573255-620,620,1,South Station,NB-0076-S,Highland,CR-Needham,place-NB-0076
1808,1808,IN_TRANSIT_TO,120,0,42.15524673461914,-71.2408218383789,230,10.7,2023-04-27 15:27:07-04:00,CR-574903-753,753,1,Foxboro,FS-0049-S,Foxboro,CR-Franklin,place-FS-0049
1801,1801,STOPPED_AT,50,1,42.15538787841797,-70.95348358154297,334,1.3,2023-04-27 15:27:10-04:00,CR-554459-056,056,1,South Station,PB-0158-S,South Weymouth,CR-Kingston,place-PB-0158
1628,1628,STOPPED_AT,100,0,42.460227966308594,-71.45658874511719,278,,2023-04-27 15:26:55-04:00,CR-551764-419,419,1,Wachusett,FR-0253,South Acton,CR-Fitchburg,place-FR-0253
1720,1720,IN_TRANSIT_TO,120,1,42.357059478759766,-71.13823699951172,100,,2023-04-27 15:27:07-04:00,CR-551611-520,520,1,South Station,WML-0025,Lansdowne,CR-Worcester,place-WML-0025
1828,1828,STOPPED_AT,0,1,42.23799514770508,-71.1330795288086,89,,2023-04-27 15:26:45-04:00,CR-551386-928,928,1,South Station,DB-0095,Readville,CR-Fairmount,place-DB-0095
1634,1634,STOPPED_AT,20,0,42.44450759887695,-71.14041137695312,21,,2023-04-27 15:26:53-04:00,CR-551844-323,323,1,Lowell,NHRML-0073,Wedgemere,CR-Lowell,place-NHRML-0073
1818,1818,IN_TRANSIT_TO,40,0,42.18426513671875,-71.0117416381836,225,27.3,2023-04-27 15:27:05-04:00,CR-554445-017,017,1,Middleborough/Lakeville,MM-0150-S,Holbrook/Randolph,CR-Middleborough,place-MM-0150
1644,1644,IN_TRANSIT_TO,20,1,42.5596809387207,-71.18971252441406,133,25.5,2023-04-27 15:26:46-04:00,CR-551847-324,324,1,North Station,NHRML-0152,Wilmington,CR-Lowell,place-NHRML-0152
1651,1651,IN_TRANSIT_TO,20,1,42.519012451171875,-70.89637756347656,179,17.4,2023-04-27 15:26:53-04:00,CR-593012-198-Rockport,198,1,North Station,ER-0128,Swampscott,CR-Newburyport,place-ER-0128
1714,1714,IN_TRANSIT_TO,170,0,42.271583557128906,-71.77316284179688,246,11.2,2023-04-27 15:27:04-04:00,CR-554467-519,519,1,Worcester,WML-0442-CS,Worcester,CR-Worcester,place-WML-0442
1701,1701,IN_TRANSIT_TO,80,0,42.51675033569336,-71.09568786621094,300,12.5,2023-04-27 15:27:15-04:00,CR-569948-293,293,1,Reading,WR-0120-S,Reading,CR-Haverhill,place-WR-0120
1824,1824,IN_TRANSIT_TO,40,1,41.846683502197266,-71.41361236572266,31,15.6,2023-04-27 15:26:47-04:00,CR-574042-826,826,1,South Station,NEC-1891,Pawtucket/Central Falls,CR-Providence,place-NEC-1891
1706,1706,IN_TRANSIT_TO,20,1,42.110313415527344,-71.3525390625,62,25.9,2023-04-27 15:27:10-04:00,CR-574913-720,720,1,South Station,FB-0230-S,Norfolk,CR-Franklin,place-FB-0230
1722,1722,STOPPED_AT,90,0,42.29703903198242,-71.29530334472656,243,8.5,2023-04-27 15:27:10-04:00,CR-554545-521,521,1,Worcester,WML-0147,Wellesley Square,CR-Worcester,place-WML-0147
